TRANSCRIPT	NS_POLY	S_POLY	NS_FIX	S_FIX	codons	final_NI	alpha	final_FET
FBtr0073302	11	22	4	7	156	0.8750	0.125	1.0000 
FBtr0073306	19	32	25	16	264	0.3800	0.62	0.0354 
FBtr0073308	47	105	18	39	754	0.9698	0.0302	1.0000 
FBtr0073309	47	105	18	39	754	0.9698	0.0302	1.0000 
FBtr0073310	11	32	16	15	431	0.3223	0.6777	0.0286 
FBtr0073317	6	76	1	27	521	2.1316	-1.1316	0.6759 
FBtr0073319	16	18	4	5	118	1.1111	-0.1111	1.0000 
FBtr0073321	2	66	0	18	552	0.0000	1	1.0000 
FBtr0073322	36	27	70	30	467	0.5714	0.4286	0.1286 
FBtr0073323	74	178	17	77	1214	1.8830	-0.883	0.0393 
FBtr0073328	8	16	1	3	106	1.5000	-0.5	1.0000 
FBtr0073333	18	37	4	13	296	1.5811	-0.5811	0.5587 
FBtr0073334	29	33	5	11	220	1.9333	-0.9333	0.3971 
FBtr0073335	3	27	1	6	147	0.6667	0.3333	1.0000 
FBtr0073336	4	19	5	7	145	0.2947	0.7053	0.2204 
FBtr0073337	0	41	0	4	322	0.0000	1	1.0000 
FBtr0073338	35	51	3	15	238	3.4314	-2.4314	0.0634 
FBtr0073339	15	88	5	20	631	0.6818	0.3182	0.5417 
FBtr0073340	31	35	21	13	324	0.5483	0.4517	0.2060 
FBtr0073341	8	91	0	15	611	0.0000	1	0.5942 
FBtr0073342	8	91	0	15	611	0.0000	1	0.5942 
FBtr0073343	8	91	0	15	611	0.0000	1	0.5942 
FBtr0073344	5	63	2	35	487	1.3889	-0.3889	1.0000 
FBtr0073345	134	224	21	66	1978	1.8801	-0.8801	0.0236 
FBtr0073346	6	10	2	1	99	0.3000	0.7	0.5459 
FBtr0073347	8	19	7	8	126	0.4812	0.5188	0.3252 
FBtr0073348	48	110	15	63	869	1.8327	-0.8327	0.0852 
FBtr0073352	27	114	343	125	393	0.0863	0.9137	0.0000 
FBtr0073353	10	14	3	15	136	3.5714	-2.5714	0.1038 
FBtr0073354	18	52	3	13	449	1.5000	-0.5	0.7506 
FBtr0073355	12	4	4	2	83	1.5000	-0.5	1.0000 
FBtr0073356	46	89	3	37	659	6.3745	-5.3745	0.0006 
FBtr0073358	84	166	23	67	1298	1.4741	-0.4741	0.1860 
FBtr0073361	78	62	10	15	386	1.8871	-0.8871	0.1920 
FBtr0073362	19	89	6	34	615	1.2097	-0.2097	0.8087 
FBtr0073363	11	19	86	25	277	0.1683	0.8317	0.0000 
FBtr0073364	12	12	5	8	116	1.6000	-0.6	0.7307 
FBtr0073365	8	20	6	6	138	0.4000	0.6	0.2808 
FBtr0073366	17	44	11	30	311	1.0537	-0.0537000000000001	1.0000 
FBtr0073367	4	63	5	17	302	0.2159	0.7841	0.0380 
FBtr0073369	13	41	15	29	385	0.6130	0.387	0.3689 
FBtr0073372	20	17	10	8	146	0.9412	0.0588	1.0000 
FBtr0073373	1178	574	88	61	972	1.4226	-0.4226	0.0465 
FBtr0073374	1	35	1	11	180	0.3143	0.6857	0.4415 
FBtr0073375	13	89	6	31	689	0.7547	0.2453	0.5857 
FBtr0073376	6	22	3	9	177	0.8182	0.1818	1.0000 
FBtr0073377	4	5	1	1	69	0.8000	0.2	1.0000 
FBtr0073378	10	12	6	11	144	1.5278	-0.5278	0.7435 
FBtr0073379	11	16	5	29	243	3.9875	-2.9875	0.0386 
FBtr0073380	31	73	21	43	869	0.8695	0.1305	0.7324 
FBtr0073381	50	97	46	75	1080	0.8404	0.1596	0.5238 
FBtr0073382	10	42	0	11	245	0.0000	1	0.1868 
FBtr0073383	3	9	79	25	247	0.1055	0.8945	0.0007 
FBtr0073386	6	63	1	25	379	2.3810	-1.381	0.6695 
FBtr0073387	34	96	9	32	588	1.2593	-0.2593	0.6824 
FBtr0073390	42	65	6	25	533	2.6923	-1.6923	0.0534 
FBtr0073391	37	45	6	17	404	2.3296	-1.3296	0.1494 
FBtr0073392	6	9	3	9	128	2.0000	-1	0.6828 
FBtr0073393	166	425	49	177	2549	1.4109	-0.4109	0.0755 
FBtr0073394	0	15	1	8	135	0.0000	1	0.3750 
FBtr0073396	4	10	0	4	184	0.0000	1	0.5242 
FBtr0073397	4	10	0	4	171	0.0000	1	0.5242 
FBtr0073400	44	54	15	24	559	1.3037	-0.3037	0.5681 
FBtr0073401	9	12	38	21	214	0.4145	0.5855	0.1214 
FBtr0073403	26	98	11	88	1288	2.1224	-1.1224	0.0691 
FBtr0073404	28	130	9	66	1000	1.5795	-0.5795	0.3383 
FBtr0073405	28	130	9	66	1000	1.5795	-0.5795	0.3383 
FBtr0073406	22	60	11	23	458	0.7667	0.2333	0.6518 
FBtr0073407	14	72	4	24	450	1.1667	-0.1667	1.0000 
FBtr0073408	16	64	9	29	452	0.8056	0.1944	0.6382 
FBtr0073409	23	50	55	34	607	0.2844	0.7156	0.0001 
FBtr0073410	21	76	13	41	664	0.8715	0.1285	0.8393 
FBtr0073411	8	56	42	53	672	0.1803	0.8197	0.0000 
FBtr0073412	22	68	10	37	604	1.1971	-0.1971	0.8320 
FBtr0073413	1	22	1	26	571	1.1818	-0.1818	1.0000 
FBtr0073414	1	22	1	26	571	1.1818	-0.1818	1.0000 
FBtr0073415	1	22	1	26	571	1.1818	-0.1818	1.0000 
FBtr0073416	1	22	1	26	571	1.1818	-0.1818	1.0000 
FBtr0073417	1	22	1	26	571	1.1818	-0.1818	1.0000 
FBtr0073418	1	23	2	26	564	0.5652	0.4348	1.0000 
FBtr0073419	1	23	2	26	564	0.5652	0.4348	1.0000 
FBtr0073420	1	23	2	26	564	0.5652	0.4348	1.0000 
FBtr0073421	2	13	0	4	299	0.0000	1	1.0000 
FBtr0073422	2	13	0	4	312	0.0000	1	1.0000 
FBtr0073423	2	13	0	4	299	0.0000	1	1.0000 
FBtr0073424	2	13	0	4	312	0.0000	1	1.0000 
FBtr0073425	0	19	1	31	307	0.0000	1	1.0000 
FBtr0073426	0	19	1	31	307	0.0000	1	1.0000 
FBtr0073427	11	19	15	6	160	0.2316	0.7684	0.0227 
FBtr0073428	9	39	4	29	339	1.6731	-0.6731	0.5442 
FBtr0073429	3	59	7	23	419	0.1671	0.8329	0.0123 
FBtr0073430	3	59	7	23	419	0.1671	0.8329	0.0123 
FBtr0073431	3	59	7	23	419	0.1671	0.8329	0.0123 
FBtr0073434	4	59	4	18	573	0.3051	0.6949	0.1960 
FBtr0073435	4	59	4	18	573	0.3051	0.6949	0.1960 
FBtr0073436	1	51	2	19	413	0.1863	0.8137	0.1970 
FBtr0073437	5	16	11	15	208	0.4261	0.5739	0.2265 
FBtr0073438	7	12	2	3	116	0.8750	0.125	1.0000 
FBtr0073439	5	23	2	6	113	0.6522	0.3478	0.6390 
FBtr0073440	22	60	44	30	598	0.2500	0.75	0.0000 
FBtr0073441	7	54	5	15	493	0.3889	0.6111	0.1582 
FBtr0073442	7	54	5	15	493	0.3889	0.6111	0.1582 
FBtr0073443	7	54	5	15	493	0.3889	0.6111	0.1582 
FBtr0073444	5	47	5	14	398	0.2979	0.7021	0.1183 
FBtr0073445	13	11	12	10	113	0.9848	0.0152	1.0000 
FBtr0073446	6	6	15	9	112	0.6000	0.4	0.4991 
FBtr0073447	6	12	11	6	122	0.2727	0.7273	0.0943 
FBtr0073448	53	210	15	100	1710	1.6825	-0.6825	0.1103 
FBtr0073450	22	19	28	16	203	0.6617	0.3383	0.3845 
FBtr0073451	12	18	7	9	182	0.8571	0.1429	1.0000 
FBtr0073452	9	8	3	6	107	2.2500	-1.25	0.4291 
FBtr0073453	33	65	97	70	913	0.3664	0.6336	0.0001 
FBtr0073454	4	55	2	37	624	1.3455	-0.3455	1.0000 
FBtr0073456	5	16	0	7	122	0.0000	1	0.2895 
FBtr0073457	17	158	16	84	1178	0.5649	0.4351	0.1279 
FBtr0073460	0	16	0	11	144	0.0000	1	1.0000 
FBtr0073461	7	20	2	12	189	2.1000	-1.1	0.6925 
FBtr0073467	17	13	13	12	150	1.2071	-0.2071	0.7899 
FBtr0073468	9	33	2	15	251	2.0455	-1.0455	0.4838 
FBtr0073469	38	101	3	52	861	6.5215	-5.5215	0.0004 
FBtr0073470	10	13	8	4	152	0.3846	0.6154	0.2890 
FBtr0073471	0	8	0	11	216	0.0000	1	1.0000 
FBtr0073472	0	8	0	11	216	0.0000	1	1.0000 
FBtr0073473	14	11	1	8	116	10.1818	-9.1818	0.0468 
FBtr0073474	5	9	2	4	88	1.1111	-0.1111	1.0000 
FBtr0073475	11	78	14	55	795	0.5540	0.446	0.1933 
FBtr0073476	11	78	14	55	795	0.5540	0.446	0.1933 
FBtr0073477	11	78	14	55	795	0.5540	0.446	0.1933 
FBtr0073478	11	78	14	55	795	0.5540	0.446	0.1933 
FBtr0073479	11	78	14	55	795	0.5540	0.446	0.1933 
FBtr0073480	16	64	22	31	614	0.3523	0.6477	0.0105 
FBtr0073481	175	346	118	199	3414	0.8530	0.147	0.2962 
FBtr0073482	1	8	0	10	88	0.0000	1	0.4737 
FBtr0073483	7	20	4	5	206	0.4375	0.5625	0.4088 
FBtr0073484	49	75	7	27	812	2.5200	-1.52	0.0448 
FBtr0073485	20	95	0	28	949	0.0000	1	0.0136 
FBtr0073486	20	96	0	28	957	0.0000	1	0.0137 
FBtr0073487	20	95	0	28	949	0.0000	1	0.0136 
FBtr0073488	15	99	3	30	968	1.5152	-0.5152	0.7641 
FBtr0073489	20	95	0	28	964	0.0000	1	0.0136 
FBtr0073490	13	98	2	30	909	1.9898	-0.9898	0.5214 
FBtr0073491	7	20	4	5	206	0.4375	0.5625	0.4088 
FBtr0073492	7	20	4	5	206	0.4375	0.5625	0.4088 
FBtr0073494	3	35	7	23	367	0.2816	0.7184	0.0936 
FBtr0073495	2	35	7	23	367	0.1878	0.8122	0.0671 
FBtr0073496	1	25	0	12	266	0.0000	1	1.0000 
FBtr0073497	21	88	26	48	641	0.4406	0.5594	0.0244 
FBtr0073498	21	88	26	48	641	0.4406	0.5594	0.0244 
FBtr0073499	95	67	114	41	815	0.5100	0.49	0.0063 
FBtr0073500	46	47	58	29	438	0.4894	0.5106	0.0237 
FBtr0073503	8	45	5	25	574	0.8889	0.1111	1.0000 
FBtr0073504	6	28	4	19	378	1.0179	-0.0179	1.0000 
FBtr0073505	16	22	4	22	404	4.0000	-3	0.0296 
FBtr0073506	3	15	1	8	199	1.6000	-0.6	1.0000 
FBtr0073507	20	77	12	31	779	0.6710	0.329	0.3856 
FBtr0073508	20	77	12	31	779	0.6710	0.329	0.3856 
FBtr0073509	7	22	5	13	202	0.8273	0.1727	1.0000 
FBtr0073510	6	9	5	9	146	1.2000	-0.2	1.0000 
FBtr0073511	35	15	22	31	238	3.2879	-2.2879	0.0053 
FBtr0073512	18	37	7	36	664	2.5019	-1.5019	0.1011 
FBtr0073513	14	42	14	30	544	0.7143	0.2857	0.5051 
FBtr0073516	28	39	34	55	665	1.1614	-0.1614	0.7413 
FBtr0073519	7	31	0	17	417	0.0000	1	0.0860 
FBtr0073520	33	64	27	30	900	0.5729	0.4271	0.1240 
FBtr0073521	20	63	4	35	716	2.7778	-1.7778	0.0896 
FBtr0073522	15	217	1	94	1631	6.4977	-5.4977	0.0464 
FBtr0073526	66	72	22	44	1200	1.8333	-0.8333	0.0694 
FBtr0073527	61	65	16	40	1102	2.3462	-1.3462	0.0148 
FBtr0073531	6	12	4	2	115	0.2500	0.75	0.1921 
FBtr0073532	10	17	6	4	201	0.3922	0.6078	0.2744 
FBtr0073533	11	21	6	6	238	0.5238	0.4762	0.4889 
FBtr0073534	10	17	6	4	201	0.3922	0.6078	0.2744 
FBtr0073535	2	12	0	11	112	0.0000	1	0.4867 
FBtr0073536	68	77	230	100	1004	0.3840	0.616	0.0000 
FBtr0073537	22	14	19	18	180	1.4887	-0.4887	0.4818 
FBtr0073539	49	32	56	51	623	1.3945	-0.3945	0.3005 
FBtr0073540	2	5	7	8	101	0.4571	0.5429	0.6478 
FBtr0073541	3	11	10	10	183	0.2727	0.7273	0.1529 
FBtr0073542	0	153	3	101	1888	0.0000	1	0.0651 
FBtr0073543	0	20	2	8	160	0.0000	1	0.1034 
FBtr0073544	0	20	2	8	160	0.0000	1	0.1034 
FBtr0073545	30	19	129	28	280	0.3427	0.6573	0.0034 
FBtr0073546	5	112	3	27	779	0.4018	0.5982	0.2076 
FBtr0073547	7	115	3	29	807	0.5884	0.4116	0.4343 
FBtr0073548	15	56	16	33	406	0.5525	0.4475	0.2033 
FBtr0073549	8	53	7	27	408	0.5822	0.4178	0.3857 
FBtr0073550	372	214	23	29	373	2.1918	-1.1918	0.0073 
FBtr0073551	15	43	10	22	416	0.7674	0.2326	0.6280 
FBtr0073552	13	57	10	26	578	0.5930	0.407	0.3231 
FBtr0073553	13	57	10	26	578	0.5930	0.407	0.3231 
FBtr0073555	18	96	5	36	678	1.3500	-0.35	0.7982 
FBtr0073556	16	25	6	20	264	2.1333	-1.1333	0.1956 
FBtr0073557	16	25	6	20	264	2.1333	-1.1333	0.1956 
FBtr0073558	0	6	0	7	215	0.0000	1	1.0000 
FBtr0073560	0	6	0	7	215	0.0000	1	1.0000 
FBtr0073561	0	6	0	7	215	0.0000	1	1.0000 
FBtr0073562	2	7	0	8	235	0.0000	1	0.4706 
FBtr0073565	26	67	14	37	506	1.0256	-0.0256000000000001	1.0000 
FBtr0073567	6	28	1	12	320	2.5714	-1.5714	0.6549 
FBtr0073569	21	50	20	21	308	0.4410	0.559	0.0661 
FBtr0073570	4	6	3	8	108	1.7778	-0.7778	0.6594 
FBtr0073571	9	17	8	10	117	0.6618	0.3382	0.5447 
FBtr0073572	14	29	6	22	334	1.7701	-0.7701	0.4200 
FBtr0073573	91	122	56	70	1353	0.9324	0.0676	0.8207 
FBtr0073574	22	40	487	213	364	0.2406	0.7594	0.0000 
FBtr0073575	3	46	4	15	303	0.2446	0.7554	0.0892 
FBtr0073576	3	46	4	15	303	0.2446	0.7554	0.0892 
FBtr0073577	3	46	4	15	303	0.2446	0.7554	0.0892 
FBtr0073578	4	46	5	17	319	0.2957	0.7043	0.1205 
FBtr0073579	57	88	24	40	592	1.0795	-0.0794999999999999	0.8780 
FBtr0073580	29	164	5	63	1174	2.2280	-1.228	0.1419 
FBtr0073581	16	102	18	48	690	0.4183	0.5817	0.0289 
FBtr0073582	10	40	1	17	246	4.2500	-3.25	0.2648 
FBtr0073590	24	159	7	47	1034	1.0135	-0.0135000000000001	1.0000 
FBtr0073591	4	28	4	10	249	0.3571	0.6429	0.2225 
FBtr0073594	24	153	6	61	944	1.5948	-0.5948	0.3886 
FBtr0073595	24	153	6	61	944	1.5948	-0.5948	0.3886 
FBtr0073596	8	126	36	77	1180	0.1358	0.8642	0.0000 
FBtr0073599	14	27	429	193	318	0.2333	0.7667	0.0000 
FBtr0073600	9	40	4	14	348	0.7875	0.2125	0.7357 
FBtr0073601	23	70	101	79	1132	0.2570	0.743	0.0000 
FBtr0073602	26	60	79	41	580	0.2249	0.7751	0.0000 
FBtr0073603	26	60	79	41	580	0.2249	0.7751	0.0000 
FBtr0073604	5	25	5	9	210	0.3600	0.64	0.2471 
FBtr0073606	4	13	31	17	126	0.1687	0.8313	0.0047 
FBtr0073607	20	94	8	37	898	0.9840	0.016	1.0000 
FBtr0073608	2	59	1	14	656	0.4746	0.5254	0.4881 
FBtr0073609	2	59	1	14	656	0.4746	0.5254	0.4881 
FBtr0073610	2	59	1	14	656	0.4746	0.5254	0.4881 
FBtr0073611	2	59	1	14	656	0.4746	0.5254	0.4881 
FBtr0073612	19	80	2	40	697	4.7500	-3.75	0.0366 
FBtr0073613	10	27	9	24	251	0.9877	0.0123	1.0000 
FBtr0073615	18	32	7	19	547	1.5268	-0.5268	0.4548 
FBtr0073616	18	32	7	19	547	1.5268	-0.5268	0.4548 
FBtr0073617	18	32	7	19	547	1.5268	-0.5268	0.4548 
FBtr0073618	18	32	7	19	547	1.5268	-0.5268	0.4548 
FBtr0073619	18	32	7	19	547	1.5268	-0.5268	0.4548 
FBtr0073620	7	50	3	28	619	1.3067	-0.3067	1.0000 
FBtr0073621	0	7	1	8	217	0.0000	1	1.0000 
FBtr0073622	19	75	9	27	482	0.7600	0.24	0.6345 
FBtr0073623	29	99	21	69	536	0.9625	0.0375	1.0000 
FBtr0073633	28	28	31	31	328	1.0000	0	1.0000 
FBtr0073634	69	77	107	58	543	0.4857	0.5143	0.0020 
FBtr0073635	26	38	11	10	245	0.6220	0.378	0.4480 
FBtr0073637	15	16	34	16	173	0.4412	0.5588	0.1031 
FBtr0073638	21	38	62	29	340	0.2585	0.7415	0.0001 
FBtr0073639	33	56	14	45	383	1.8941	-0.8941	0.1057 
FBtr0073640	41	71	18	54	483	1.7324	-0.7324	0.1083 
FBtr0073641	3	104	14	129	1129	0.2658	0.7342	0.0404 
FBtr0073642	6	13	3	14	140	2.1538	-1.1538	0.4513 
FBtr0073643	3	56	4	24	344	0.3214	0.6786	0.2051 
FBtr0073644	25	28	14	15	237	0.9566	0.0434	1.0000 
FBtr0073647	20	27	13	15	189	0.8547	0.1453	0.8122 
FBtr0073650	10	28	0	12	236	0.0000	1	0.0920 
FBtr0073651	701	319	15	37	814	5.4205	-4.4205	0.0000 
FBtr0073652	11	64	5	26	470	0.8937	0.1063	1.0000 
FBtr0073653	14	26	4	9	197	1.2115	-0.2115	1.0000 
FBtr0073655	32	84	42	33	571	0.2993	0.7007	0.0001 
FBtr0073656	5	40	4	10	214	0.3125	0.6875	0.1953 
FBtr0073657	35	53	20	16	335	0.5283	0.4717	0.1166 
FBtr0073658	13	83	11	46	754	0.6550	0.345	0.3649 
FBtr0073659	37	162	24	73	1225	0.6947	0.3053	0.2245 
FBtr0073660	38	163	24	74	1247	0.7188	0.2812	0.2887 
FBtr0073661	38	138	27	61	1033	0.6221	0.3779	0.1295 
FBtr0073662	7	51	0	23	504	0.0000	1	0.1828 
FBtr0073667	58	97	52	39	697	0.4485	0.5515	0.0034 
FBtr0073668	0	27	1	13	255	0.0000	1	0.3415 
FBtr0073669	0	28	2	13	265	0.0000	1	0.1163 
FBtr0073670	18	40	6	10	294	0.7500	0.25	0.7639 
FBtr0073671	12	4	4	0	8	0.0000	1	0.5377 
FBtr0073672	31	26	170	52	527	0.3647	0.6353	0.0015 
FBtr0073673	57	115	34	41	660	0.5977	0.4023	0.0850 
FBtr0073674	2	27	22	28	298	0.0943	0.9057	0.0004 
FBtr0073675	10	22	9	24	311	1.2121	-0.2121	0.7893 
FBtr0073678	26	66	464	218	1423	0.1851	0.8149	0.0000 
FBtr0073679	24	59	464	204	1412	0.1788	0.8212	0.0000 
FBtr0073680	1	20	1	14	337	0.7000	0.3	1.0000 
FBtr0073681	1	20	1	14	337	0.7000	0.3	1.0000 
FBtr0073682	1	20	1	14	337	0.7000	0.3	1.0000 
FBtr0073683	23	45	13	18	431	0.7077	0.2923	0.5018 
FBtr0073684	23	44	13	16	403	0.6434	0.3566	0.3643 
FBtr0073685	71	74	96	91	682	0.9095	0.0905	0.7400 
FBtr0073686	14	24	24	34	306	0.8264	0.1736	0.6762 
FBtr0073687	27	30	48	46	326	0.8625	0.1375	0.7377 
FBtr0073688	14	37	10	25	343	0.9459	0.0541	1.0000 
FBtr0073689	14	37	10	25	343	0.9459	0.0541	1.0000 
FBtr0073690	39	90	37	56	651	0.6559	0.3441	0.1533 
FBtr0073691	7	20	6	13	179	0.7583	0.2417	0.7463 
FBtr0073692	13	42	6	31	347	1.5992	-0.5992	0.4415 
FBtr0073693	2	32	4	13	259	0.2031	0.7969	0.0865 
FBtr0073694	9	27	36	23	303	0.2130	0.787	0.0007 
FBtr0073695	15	32	16	29	319	0.8496	0.1504	0.8260 
FBtr0073696	12	30	16	28	291	0.7000	0.3	0.4952 
FBtr0073697	29	93	22	43	646	0.6095	0.3905	0.1683 
FBtr0073698	20	57	27	29	346	0.3769	0.6231	0.0102 
FBtr0073699	35	46	131	65	612	0.3775	0.6225	0.0004 
FBtr0073702	19	13	7	8	227	1.6703	-0.6703	0.5327 
FBtr0073703	19	13	7	8	227	1.6703	-0.6703	0.5327 
FBtr0073704	43	70	186	104	660	0.3435	0.6565	0.0000 
FBtr0073705	5	53	5	37	427	0.6981	0.3019	0.7383 
FBtr0073709	14	33	10	12	292	0.5091	0.4909	0.2788 
FBtr0073712	0	24	0	13	356	0.0000	1	1.0000 
FBtr0073716	9	12	5	5	102	0.7500	0.25	0.7207 
FBtr0073717	18	14	37	16	153	0.5560	0.444	0.2451 
FBtr0073720	4	23	0	20	334	0.0000	1	0.1256 
FBtr0073721	8	31	2	14	241	1.8065	-0.8065	0.7055 
FBtr0073722	20	51	2	21	359	4.1176	-3.1176	0.0868 
FBtr0073723	24	29	15	12	252	0.6621	0.3379	0.4796 
FBtr0073724	16	62	12	37	541	0.7957	0.2043	0.6624 
FBtr0073725	21	68	2	51	853	7.8750	-6.875	0.0017 
FBtr0073726	10	21	20	48	562	1.1429	-0.1429	0.8160 
FBtr0073727	37	14	53	38	506	1.8949	-0.8949	0.1042 
FBtr0073730	1	25	6	20	245	0.1333	0.8667	0.0993 
FBtr0073731	13	148	23	57	1049	0.2177	0.7823	0.0001 
FBtr0073732	21	157	32	62	1146	0.2592	0.7408	0.0000 
FBtr0073733	2	0	19	7	13	0.0000	1	1.0000 
FBtr0073734	5	22	13	10	141	0.1748	0.8252	0.0079 
FBtr0073735	6	11	11	14	189	0.6942	0.3058	0.7504 
FBtr0073736	29	173	32	96	1530	0.5029	0.4971	0.0196 
FBtr0073737	21	37	5	7	301	0.7946	0.2054	0.7509 
FBtr0073738	56	84	4	44	607	7.3333	-6.3333	0.0000 
FBtr0073741	2	16	0	37	515	0.0000	1	0.1030 
FBtr0073745	7	23	5	10	186	0.6087	0.3913	0.4959 
FBtr0073747	33	105	16	50	1175	0.9821	0.0179	1.0000 
FBtr0073748	6	41	8	21	492	0.3841	0.6159	0.1328 
FBtr0073750	33	63	48	56	505	0.6111	0.3889	0.1128 
FBtr0073752	39	52	25	24	414	0.7200	0.28	0.3786 
FBtr0073753	21	63	3	23	486	2.5556	-1.5556	0.1817 
FBtr0073754	3	87	5	62	745	0.4276	0.5724	0.2877 
FBtr0073755	7	41	9	25	351	0.4743	0.5257	0.2583 
FBtr0073756	80	277	13	129	1797	2.8659	-1.8659	0.0005 
FBtr0073757	7	34	9	19	396	0.4346	0.5654	0.1604 
FBtr0073758	29	47	21	26	552	0.7639	0.2361	0.5714 
FBtr0073759	10	40	7	20	370	0.7143	0.2857	0.5748 
FBtr0073763	1	34	0	8	194	0.0000	1	1.0000 
FBtr0073764	1	34	0	8	194	0.0000	1	1.0000 
FBtr0073766	36	41	23	19	387	0.7253	0.2747	0.4466 
FBtr0073767	49	114	21	54	788	1.1053	-0.1053	0.8784 
FBtr0073768	38	43	15	15	371	0.8837	0.1163	0.8323 
FBtr0073769	13	72	9	26	575	0.5216	0.4784	0.2002 
FBtr0073770	12	71	9	26	568	0.4883	0.5117	0.1876 
FBtr0073771	12	71	9	26	568	0.4883	0.5117	0.1876 
FBtr0073772	12	71	9	26	568	0.4883	0.5117	0.1876 
FBtr0073773	12	71	9	26	568	0.4883	0.5117	0.1876 
FBtr0073774	12	71	9	26	568	0.4883	0.5117	0.1876 
FBtr0073775	1	7	2	10	95	0.7143	0.2857	1.0000 
FBtr0073776	5	9	4	15	245	2.0833	-1.0833	0.4421 
FBtr0073777	2	54	2	21	443	0.3889	0.6111	0.5757 
FBtr0073778	1	20	0	8	237	0.0000	1	1.0000 
FBtr0073779	141	321	179	136	2327	0.3337	0.6663	0.0000 
FBtr0073780	37	50	9	29	672	2.3844	-1.3844	0.0472 
FBtr0073782	21	43	6	14	281	1.1395	-0.1395	1.0000 
FBtr0073783	22	36	3	12	298	2.4444	-1.4444	0.2355 
FBtr0073784	15	31	3	13	173	2.0968	-1.0968	0.3550 
FBtr0073785	27	25	5	19	339	4.1040	-3.104	0.0130 
FBtr0073787	13	74	3	17	406	0.9955	0.00449999999999995	1.0000 
FBtr0073788	3	10	41	15	157	0.1098	0.8902	0.0012 
FBtr0073789	1	12	0	5	121	0.0000	1	1.0000 
FBtr0073790	3	10	0	7	98	0.0000	1	0.5211 
FBtr0073792	0	8	0	12	130	0.0000	1	1.0000 
FBtr0073793	0	8	0	12	130	0.0000	1	1.0000 
FBtr0073794	0	8	0	12	130	0.0000	1	1.0000 
FBtr0073795	0	8	0	12	130	0.0000	1	1.0000 
FBtr0073796	2	26	5	14	268	0.2154	0.7846	0.1016 
FBtr0073798	24	143	1076	493	1126	0.0769	0.9231	0.0000 
FBtr0073799	33	48	11	16	312	1.0000	0	1.0000 
FBtr0073800	7	28	2	21	285	2.6250	-1.625	0.2947 
FBtr0073803	25	38	5	6	496	0.7895	0.2105	0.7488 
FBtr0073804	27	105	5	28	698	1.4400	-0.44	0.6255 
FBtr0073805	27	105	5	28	698	1.4400	-0.44	0.6255 
FBtr0073806	38	23	17	7	243	0.6803	0.3197	0.6150 
FBtr0073807	11	57	3	10	284	0.6433	0.3567	0.6885 
FBtr0073808	41	180	135	116	1388	0.1957	0.8043	0.0000 
FBtr0073809	27	29	9	14	340	1.4483	-0.4483	0.6196 
FBtr0073810	14	65	10	19	518	0.4092	0.5908	0.0729 
FBtr0073811	21	57	4	13	279	1.1974	-0.1974	1.0000 
FBtr0073812	19	61	4	25	344	1.9467	-0.9467	0.3018 
FBtr0073813	46	144	27	66	1194	0.7809	0.2191	0.3891 
FBtr0073814	24	106	3	51	935	3.8491	-2.8491	0.0233 
FBtr0073815	27	112	25	47	908	0.4532	0.5468	0.0183 
FBtr0073817	62	216	37	70	1423	0.5430	0.457	0.0187 
FBtr0073818	5	30	0	12	228	0.0000	1	0.3088 
FBtr0073819	0	12	1	1	116	0.0000	1	0.1429 
FBtr0073820	10	44	8	32	384	0.9091	0.0909	1.0000 
FBtr0073821	8	68	17	23	420	0.1592	0.8408	0.0002 
FBtr0073822	21	173	4	42	1258	1.2746	-0.2746	0.7938 
FBtr0073823	21	171	4	42	1248	1.2895	-0.2895	0.7934 
FBtr0073825	3	94	0	22	738	0.0000	1	1.0000 
FBtr0073826	3	88	0	22	645	0.0000	1	1.0000 
FBtr0073827	24	39	5	14	283	1.7231	-0.7231	0.4200 
FBtr0073828	16	68	87	50	819	0.1352	0.8648	0.0000 
FBtr0073829	25	106	12	52	799	1.0220	-0.022	1.0000 
FBtr0073833	6	98	6	35	698	0.3571	0.6429	0.0985 
FBtr0073834	17	88	5	26	675	1.0045	-0.00449999999999995	1.0000 
FBtr0073835	1	27	0	8	261	0.0000	1	1.0000 
FBtr0073836	7	58	12	30	392	0.3017	0.6983	0.0360 
FBtr0073837	15	13	64	15	163	0.2704	0.7296	0.0109 
FBtr0073838	11	42	5	21	340	1.1000	-0.1	1.0000 
FBtr0073839	13	7	35	13	122	0.6898	0.3102	0.5659 
FBtr0073840	5	42	10	24	506	0.2857	0.7143	0.0434 
FBtr0073841	17	105	106	62	883	0.0947	0.9053	0.0000 
FBtr0073842	37	134	9	42	1034	1.2886	-0.2886	0.6941 
FBtr0073843	21	102	9	35	789	0.8007	0.1993	0.6497 
FBtr0073844	10	140	11	57	787	0.3701	0.6299	0.0446 
FBtr0073845	10	140	11	57	787	0.3701	0.6299	0.0446 
FBtr0073846	14	66	4	19	361	1.0076	-0.00760000000000005	1.0000 
FBtr0073847	55	109	20	51	919	1.2867	-0.2867	0.4495 
FBtr0073848	54	168	117	86	1378	0.2363	0.7637	0.0000 
FBtr0073849	11	57	11	17	413	0.2982	0.7018	0.0302 
FBtr0073850	28	93	25	42	676	0.5058	0.4942	0.0436 
FBtr0073851	0	21	0	3	397	0.0000	1	1.0000 
